org_code,org_name,year,month,period,total,within,after,performance,pct_after_62,within_31_days,in_32_to_38_days,in_39_to_48_days,in_49_to_62_days,in_63_to_76_days,in_77_to_90_days,in_91_to_104_days,after_104_days
QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,2025,12,2025-12,959.0,679.0,280.0,0.708029197080292,0.291970802919708,277.0,73.0,128.0,201.0,92.0,63.0,47.0,78.0
QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,2025,12,2025-12,746.0,474.0,272.0,0.635388739946381,0.3646112600536193,209.0,57.0,88.0,120.0,95.0,61.0,36.0,80.0
QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,2025,12,2025-12,500.0,365.0,135.0,0.73,0.27,155.0,43.0,78.0,89.0,47.0,36.0,16.0,36.0
QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,2025,12,2025-12,549.0,289.0,260.0,0.526411657559198,0.47358834244080145,109.0,35.0,56.0,89.0,75.0,57.0,36.0,92.0
QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",2025,12,2025-12,410.0,284.0,126.0,0.692682926829268,0.3073170731707317,131.0,20.0,46.0,87.0,43.0,27.0,12.0,44.0
QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,2025,12,2025-12,611.0,422.0,189.0,0.690671031096563,0.309328968903437,186.0,44.0,68.0,124.0,52.0,42.0,34.0,61.0
QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,2025,12,2025-12,1845.0,1320.0,525.0,0.715447154471545,0.2845528455284553,552.0,157.0,240.0,371.0,183.0,140.0,70.0,132.0
QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2025,12,2025-12,558.0,363.0,195.0,0.650537634408602,0.34946236559139787,154.0,33.0,77.0,99.0,65.0,46.0,31.0,53.0
QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,2025,12,2025-12,547.0,407.0,140.0,0.744058500914077,0.25594149908592323,148.0,47.0,99.0,113.0,46.0,29.0,25.0,40.0
QJK,NHS DEVON INTEGRATED CARE BOARD,2025,12,2025-12,810.0,622.0,188.0,0.767901234567901,0.23209876543209876,229.0,93.0,149.0,151.0,66.0,41.0,29.0,52.0
QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,2025,12,2025-12,492.0,312.0,180.0,0.634146341463415,0.36585365853658536,145.0,34.0,52.0,81.0,55.0,39.0,34.0,52.0
QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",2025,12,2025-12,517.0,298.0,219.0,0.576402321083172,0.42359767891682787,163.0,31.0,45.0,59.0,50.0,64.0,37.0,68.0
QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,2025,12,2025-12,674.0,449.0,225.0,0.666172106824926,0.33382789317507416,156.0,59.0,101.0,133.0,65.0,45.0,30.0,85.0
QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,2025,12,2025-12,1011.0,777.0,234.0,0.768545994065282,0.2314540059347181,311.0,96.0,149.0,221.0,77.0,67.0,40.0,50.0
