region_code,region_name,year,month,period,median_wait_weeks,p92_wait_weeks,total_incomplete,total_within_18,pct_within_18,total_52_plus,total_65_plus,total_78_plus,pct_52_plus,source_file
Y56,LONDON COMMISSIONING REGION,2025,3,2025-03,13.2170858231007,40.5558026525199,1178632,719706,0.61062825377217,22727,1108,139,0.019282524146637798,rtt_incomplete_commissioner_2025_03.xlsx
Y58,SOUTH WEST COMMISSIONING REGION,2025,3,2025-03,11.4740304709141,39.4639520445301,638911,410448,0.642418114573078,11457,626,48,0.017932075046446217,rtt_incomplete_commissioner_2025_03.xlsx
Y59,SOUTH EAST COMMISSIONING REGION,2025,3,2025-03,14.0694887300715,42.2638784138956,1091910,648910,0.594288906594866,28520,1237,428,0.02611936881244791,rtt_incomplete_commissioner_2025_03.xlsx
Y60,MIDLANDS COMMISSIONING REGION,2025,3,2025-03,14.8623859831428,42.0614143494679,1391255,797391,0.57314510999062,30305,997,51,0.02178249134773999,rtt_incomplete_commissioner_2025_03.xlsx
Y61,EAST OF ENGLAND COMMISSIONING REGION,2025,3,2025-03,15.7564431828422,45.082151208106,947045,521609,0.550775306347639,34616,1361,94,0.03655158941760951,rtt_incomplete_commissioner_2025_03.xlsx
Y62,NORTH WEST COMMISSIONING REGION,2025,3,2025-03,14.7181723613667,43.953735860144,1031774,591534,0.57331741253414,32750,991,85,0.0317414472549221,rtt_incomplete_commissioner_2025_03.xlsx
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,2025,3,2025-03,10.8486090684357,38.4010507396654,993890,657390,0.661431345521134,16054,830,206,0.016152692953948625,rtt_incomplete_commissioner_2025_03.xlsx
Y56,LONDON COMMISSIONING REGION,2025,4,2025-04,12.9830540198111,41.0142404312669,1182049,718628,0.607951108625784,24068,1324,126,0.020361254059687882,rtt_incomplete_commissioner_2025_04.xlsx
Y58,SOUTH WEST COMMISSIONING REGION,2025,4,2025-04,11.7661400577244,39.5298342303552,636449,408239,0.641432384998641,12199,748,61,0.01916728598835099,rtt_incomplete_commissioner_2025_04.xlsx
Y59,SOUTH EAST COMMISSIONING REGION,2025,4,2025-04,13.2837656903766,42.5378127340824,1094839,652744,0.596200902598464,30589,1732,432,0.02793926778275162,rtt_incomplete_commissioner_2025_04.xlsx
Y60,MIDLANDS COMMISSIONING REGION,2025,4,2025-04,14.1027615278734,42.3889135866288,1371311,788383,0.574911890883979,31600,1105,73,0.023043642178907628,rtt_incomplete_commissioner_2025_04.xlsx
Y61,EAST OF ENGLAND COMMISSIONING REGION,2025,4,2025-04,15.0571493110459,45.2972606127215,942828,518229,0.549653807481322,35991,1653,153,0.0381734526339905,rtt_incomplete_commissioner_2025_04.xlsx
Y62,NORTH WEST COMMISSIONING REGION,2025,4,2025-04,14.073773364486,44.4379191045536,1025301,586152,0.571687728774282,34324,1385,93,0.03347699846191508,rtt_incomplete_commissioner_2025_04.xlsx
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,2025,4,2025-04,11.2543706020328,38.6081147776184,991293,654174,0.659919922767537,16941,1037,298,0.017089800896404998,rtt_incomplete_commissioner_2025_04.xlsx
Y56,LONDON COMMISSIONING REGION,2025,5,2025-05,13.4537647023434,41.4169857142857,1187129,730779,0.615585163870144,26850,1910,190,0.02261759252785502,rtt_incomplete_commissioner_2025_05.xlsx
Y58,SOUTH WEST COMMISSIONING REGION,2025,5,2025-05,12.0208522212149,39.5773081081081,634412,412364,0.649994010201572,12499,893,69,0.01970170803830949,rtt_incomplete_commissioner_2025_05.xlsx
Y59,SOUTH EAST COMMISSIONING REGION,2025,5,2025-05,13.5871431390607,42.4886561212282,1090023,664425,0.609551358090609,30292,2101,297,0.027790239288528775,rtt_incomplete_commissioner_2025_05.xlsx
Y60,MIDLANDS COMMISSIONING REGION,2025,5,2025-05,14.4712660702648,42.6676694592536,1361110,799781,0.587594683750762,33411,1064,94,0.02454687718112423,rtt_incomplete_commissioner_2025_05.xlsx
Y61,EAST OF ENGLAND COMMISSIONING REGION,2025,5,2025-05,15.2215023109153,45.7510056179775,933148,528637,0.566509278270971,37101,2236,209,0.03975896642333263,rtt_incomplete_commissioner_2025_05.xlsx
Y62,NORTH WEST COMMISSIONING REGION,2025,5,2025-05,14.4151988753825,44.6478330327235,1016894,593630,0.583767826341782,34746,2013,121,0.03416875308537566,rtt_incomplete_commissioner_2025_05.xlsx
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,2025,5,2025-05,11.5775144436852,38.5622455344486,990349,665019,0.671499643055125,17511,970,130,0.017681645561312225,rtt_incomplete_commissioner_2025_05.xlsx
Y56,LONDON COMMISSIONING REGION,2025,6,2025-06,13.2565502183406,40.6575088652482,1193583,743323,0.622766074918963,26234,1756,150,0.021979200441025047,rtt_incomplete_commissioner_2025_06.xlsx
Y58,SOUTH WEST COMMISSIONING REGION,2025,6,2025-06,11.9816729804444,39.1540288083806,633628,414509,0.654183527243114,11967,897,71,0.018886475976440435,rtt_incomplete_commissioner_2025_06.xlsx
Y59,SOUTH EAST COMMISSIONING REGION,2025,6,2025-06,13.4516569463642,41.6962866927593,1096177,673627,0.614523931810282,28824,1878,227,0.02629502352266103,rtt_incomplete_commissioner_2025_06.xlsx
Y60,MIDLANDS COMMISSIONING REGION,2025,6,2025-06,14.0128858131488,41.7380390763766,1353621,812584,0.60030392554489,31337,821,51,0.023150497812903317,rtt_incomplete_commissioner_2025_06.xlsx
Y61,EAST OF ENGLAND COMMISSIONING REGION,2025,6,2025-06,15.0309600817091,45.5041032908204,928893,529546,0.570082883604462,36400,2137,227,0.03918642943805153,rtt_incomplete_commissioner_2025_06.xlsx
Y62,NORTH WEST COMMISSIONING REGION,2025,6,2025-06,14.3605848991088,44.459480819152,1028412,602688,0.586037502479551,35438,1890,124,0.03445895224870966,rtt_incomplete_commissioner_2025_06.xlsx
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,2025,6,2025-06,11.4054424369882,38.3366634308695,995804,672106,0.674938040015907,17418,822,139,0.017491393888757225,rtt_incomplete_commissioner_2025_06.xlsx
Y56,LONDON COMMISSIONING REGION,2025,7,2025-07,12.8643143212264,40.6940892696123,1193088,740320,0.620507456281515,26442,1926,117,0.02216265690376569,rtt_incomplete_commissioner_2025_07.xlsx
Y58,SOUTH WEST COMMISSIONING REGION,2025,7,2025-07,11.6586671447598,39.1208689869209,635597,412962,0.649723016313796,11910,1089,118,0.018738288569643973,rtt_incomplete_commissioner_2025_07.xlsx
Y59,SOUTH EAST COMMISSIONING REGION,2025,7,2025-07,13.0741311189982,41.7837457544881,1099660,672312,0.611381699798119,28870,2275,320,0.026253569285051744,rtt_incomplete_commissioner_2025_07.xlsx
Y60,MIDLANDS COMMISSIONING REGION,2025,7,2025-07,13.6749613097662,41.6405029853447,1336111,801304,0.599728615362047,30383,881,51,0.022739877150925333,rtt_incomplete_commissioner_2025_07.xlsx
